"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"0";" -0.68029129";"   0.3324061";"Inf";"   -1.418835";" 5.825245e-02";"V3 60+";"no-vax";" 15";" 74531";"1058602";"43";"17991";"1036359";"6269.863";"6288.903";"167779";"0.0003795146";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"1";" -2.85065541";"   1.0078868";"Inf";"   -5.089990";"-6.113207e-01";"V3 14-60D";"no-vax";"258";" 42000";"1777711";" 1";" 5482";" 150403";"6269.863";"6288.903";"167779";"0.0003795146";"vac_heterologous"
"(V3 60+) - (no-vax)";"1";" -2.54033193";"   0.5054290";"Inf";"   -3.663300";"-1.417364e+00";"V3 60+";"no-vax";"258";" 42000";"1777711";" 4";" 4381";" 254250";"6269.863";"6288.903";"167779";"0.0003795146";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"0";" -1.85190282";"   0.3250964";"Inf";"   -2.574206";"-1.129600e+00";"V3 14-60D";"no-vax";"256";" 97055";"2354102";"11";"23971";" 651914";"6251.675";"6270.716";"167779";"0.4318931967";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"0";" -1.71995695";"   0.1662125";"Inf";"   -2.089250";"-1.350664e+00";"V3 60+";"no-vax";"256";" 97055";"2354102";"45";"18227";"1057596";"6251.675";"6270.716";"167779";"0.4318931967";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"1";" -0.89199052";"   0.7547995";"Inf";"   -2.569013";" 7.850319e-01";"V3 14-60D";"no-vax";" 17";" 19476";" 482211";" 2";" 4905";" 139445";"6251.675";"6270.716";"167779";"0.4318931967";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"1";" -2.16398624";"   0.7485356";"Inf";"   -3.827091";"-5.008810e-01";"V3 60+";"no-vax";" 17";" 19476";" 482211";" 2";" 4145";" 233013";"6251.675";"6270.716";"167779";"0.4318931967";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"0";" -1.70160887";"   0.3136282";"Inf";"   -2.398432";"-1.004786e+00";"V3 14-60D";"no-vax";"241";" 99869";"2480950";"12";"24864";" 690809";"6288.383";"6307.424";"167779";"0.8510005187";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"0";" -1.74945085";"   0.1732842";"Inf";"   -2.134456";"-1.364446e+00";"V3 60+";"no-vax";"241";" 99869";"2480950";"41";"19791";"1133225";"6288.383";"6307.424";"167779";"0.8510005187";"cancer_dx_prostate"
"(V3 14-60D) - (no-vax)";"1";" -2.25767198";"   1.0208693";"Inf";"   -4.525851";" 1.050742e-02";"V3 14-60D";"no-vax";" 32";" 16662";" 355363";" 1";" 4012";" 100550";"6288.383";"6307.424";"167779";"0.8510005187";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"1";" -1.74752120";"   0.4466363";"Inf";"   -2.739863";"-7.551794e-01";"V3 60+";"no-vax";" 32";" 16662";" 355363";" 6";" 2581";" 157384";"6288.383";"6307.424";"167779";"0.8510005187";"cancer_dx_prostate"
