"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"0";" -1.438561609";"   0.1619689";"Inf";"-1.798426e+00";"  -1.07869729";"V3 14-60D";"no-vax";"431";"110885";"2691988";" 47";"27497";" 754644";"13419.191";"13441.808";"167675";"1.581291e-02";"cancer_dx_lung"
"(V3 60+) - (no-vax)";"0";" -0.927826147";"   0.1233063";"Inf";"-1.201790e+00";"  -0.65386275";"V3 60+";"no-vax";"431";"110885";"2691988";" 98";"21364";"1232368";"13419.191";"13441.808";"167675";"1.581291e-02";"cancer_dx_lung"
"(V3 14-60D) - (no-vax)";"1";" -2.609500395";"   0.5887972";"Inf";"-3.917697e+00";"  -1.30130391";"V3 14-60D";"no-vax";" 92";"  5588";" 133684";"  3";" 1372";"  36124";"13419.191";"13441.808";"167675";"1.581291e-02";"cancer_dx_lung"
"(V3 60+) - (no-vax)";"1";" -1.582334125";"   0.3373273";"Inf";"-2.331812e+00";"  -0.83285634";"V3 60+";"no-vax";" 92";"  5588";" 133684";" 10";"  969";"  55763";"13419.191";"13441.808";"167675";"1.581291e-02";"cancer_dx_lung"
"(V3 14-60D) - (no-vax)";"0";" -1.636919590";"   0.1622071";"Inf";"-1.997313e+00";"  -1.27652605";"V3 14-60D";"no-vax";"509";"113024";"2734854";" 46";"28063";" 769864";"13537.251";"13559.869";"167675";"1.113389e-01";"cancer_dx_head_neck"
"(V3 60+) - (no-vax)";"0";" -1.021743949";"   0.1192110";"Inf";"-1.286608e+00";"  -0.75687961";"V3 60+";"no-vax";"509";"113024";"2734854";"105";"21740";"1253959";"13537.251";"13559.869";"167675";"1.113389e-01";"cancer_dx_head_neck"
"(V3 14-60D) - (no-vax)";"1";" -0.247677560";"   0.5692913";"Inf";"-1.512536e+00";"   1.01718061";"V3 14-60D";"no-vax";" 14";"  3449";"  90818";"  4";"  806";"  20904";"13537.251";"13559.869";"167675";"1.113389e-01";"cancer_dx_head_neck"
"(V3 60+) - (no-vax)";"1";" -0.735885193";"   0.6381597";"Inf";"-2.153756e+00";"   0.68198549";"V3 60+";"no-vax";" 14";"  3449";"  90818";"  3";"  593";"  34172";"13537.251";"13559.869";"167675";"1.113389e-01";"cancer_dx_head_neck"
"(V3 14-60D) - (no-vax)";"0";" -1.565673769";"   0.1566366";"Inf";"-1.913691e+00";"  -1.21765685";"V3 14-60D";"no-vax";"519";"113802";"2758488";" 50";"28198";" 771579";"13530.919";"13553.537";"167675";"4.197557e-01";"cancer_dx_endometrium"
"(V3 60+) - (no-vax)";"0";" -1.022103055";"   0.1186438";"Inf";"-1.285707e+00";"  -0.75849893";"V3 60+";"no-vax";"519";"113802";"2758488";"106";"21761";"1254891";"13530.919";"13553.537";"167675";"4.197557e-01";"cancer_dx_endometrium"
