"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"1";" -3.4369817";"5.801337e-01";"Inf";"   -4.7259295";"  -2.14803393";"V3 14-60D";"no-vax";"902";" 42000";"1777711";"  3";" 5482";" 150403";"21768.783";"21793.919";"167779";"3.140993e-65";"vac_heterologous"
"(V3 60+) - (no-vax)";"1";" -2.5650884";"3.369260e-01";"Inf";"   -3.3136744";"  -1.81650230";"V3 60+";"no-vax";"902";" 42000";"1777711";"  9";" 4381";" 254250";"21768.783";"21793.919";"167779";"3.140993e-65";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"0";" -2.0085827";"1.645113e-01";"Inf";"   -2.3740958";"  -1.64306967";"V3 14-60D";"no-vax";"858";" 97055";"2354102";" 42";"23971";" 651914";"22201.841";"22226.977";"167779";"9.138103e-01";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"0";" -1.3037384";"9.582898e-02";"Inf";"   -1.5166523";"  -1.09082443";"V3 60+";"no-vax";"858";" 97055";"2354102";"148";"18227";"1057596";"22201.841";"22226.977";"167779";"9.138103e-01";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"1";" -1.8051673";"5.174182e-01";"Inf";"   -2.9547732";"  -0.65556152";"V3 14-60D";"no-vax";" 64";" 19476";" 482211";"  4";" 4905";" 139445";"22201.841";"22226.977";"167779";"9.138103e-01";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"1";" -1.3636453";"3.282717e-01";"Inf";"   -2.0930032";"  -0.63428739";"V3 60+";"no-vax";" 64";" 19476";" 482211";" 11";" 4145";" 233013";"22201.841";"22226.977";"167779";"9.138103e-01";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"0";" -2.0136579";"1.663218e-01";"Inf";"   -2.3831936";"  -1.64412225";"V3 14-60D";"no-vax";"843";" 99869";"2480950";" 41";"24864";" 690809";"22292.853";"22317.990";"167779";"2.471649e-01";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"0";" -1.3586367";"9.837303e-02";"Inf";"   -1.5772031";"  -1.14007040";"V3 60+";"no-vax";"843";" 99869";"2480950";"138";"19791";"1133225";"22292.853";"22317.990";"167779";"2.471649e-01";"cancer_dx_prostate"
"(V3 14-60D) - (no-vax)";"1";" -1.8098250";"4.634700e-01";"Inf";"   -2.8395681";"  -0.78008185";"V3 14-60D";"no-vax";" 79";" 16662";" 355363";"  5";" 4012";" 100550";"22292.853";"22317.990";"167779";"2.471649e-01";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"1";" -0.9102624";"2.484078e-01";"Inf";"   -1.4621778";"  -0.35834696";"V3 60+";"no-vax";" 79";" 16662";" 355363";" 21";" 2581";" 157384";"22292.853";"22317.990";"167779";"2.471649e-01";"cancer_dx_prostate"
"(V3 14-60D) - (no-vax)";"0";" -2.0239557";"1.723051e-01";"Inf";"   -2.4067852";"  -1.64112617";"V3 14-60D";"no-vax";"782";"100110";"2440882";" 38";"24823";" 682029";"22299.684";"22324.821";"167779";"5.426598e-01";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"0";" -1.3544991";"1.013963e-01";"Inf";"   -1.5797826";"  -1.12921561";"V3 60+";"no-vax";"782";"100110";"2440882";"129";"19324";"1109020";"22299.684";"22324.821";"167779";"5.426598e-01";"cancer_dx_colorectal"
"(V3 14-60D) - (no-vax)";"1";" -1.8520894";"3.663480e-01";"Inf";"   -2.6660456";"  -1.03813321";"V3 14-60D";"no-vax";"140";" 16421";" 395431";"  8";" 4053";" 109330";"22299.684";"22324.821";"167779";"5.426598e-01";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"1";" -1.1158408";"2.043990e-01";"Inf";"   -1.5699768";"  -0.66170477";"V3 60+";"no-vax";"140";" 16421";" 395431";" 30";" 3048";" 181589";"22299.684";"22324.821";"167779";"5.426598e-01";"cancer_dx_colorectal"
